Date,Description,Amount,Currency,Category,Counterparty,Reference,Balance
2025-01-02,Monthly Salary,8500.00,EUR,Income,TechCorp Inc,SAL-2025-001,8500.00
2025-01-03,Office Rent,-2200.00,EUR,Rent,WeWork Amsterdam,RENT-JAN-25,6300.00
2025-01-03,AWS Cloud Services,-487.32,EUR,Software & Hosting,Amazon Web Services,AWS-INV-98234,5812.68
2025-01-04,Google Workspace,-14.40,EUR,Software & Hosting,Google LLC,GWS-2025-01,5798.28
2025-01-04,Figma Subscription,-15.00,EUR,Software & Hosting,Figma Inc,FIG-PRO-2025,5783.28
2025-01-05,Client Payment - Website,3500.00,EUR,Income,Acme Corp,INV-2024-089,9283.28
2025-01-05,Notion Team Plan,-96.00,EUR,Software & Hosting,Notion Labs,NOT-TEAM-01,9187.28
2025-01-06,Coffee Meeting,-24.50,EUR,Meals & Entertainment,Starbucks,POS-8847234,9162.78
2025-01-06,LinkedIn Premium,-29.99,EUR,Marketing,LinkedIn Corp,LI-PREM-2025,9132.79
2025-01-07,Electricity Bill,-156.78,EUR,Utilities,Vattenfall,ELEC-2025-01,8976.01
2025-01-07,Internet Service,-59.99,EUR,Utilities,KPN Business,KPN-BUS-JAN,8916.02
2025-01-08,Slack Business,-12.50,EUR,Software & Hosting,Slack Technologies,SLK-BUS-01,8903.52
2025-01-08,Office Supplies,-89.45,EUR,Office Expenses,Staples,STP-ORD-7823,8814.07
2025-01-09,GitHub Team,-21.00,EUR,Software & Hosting,GitHub Inc,GH-TEAM-2025,8793.07
2025-01-09,Business Lunch,-67.80,EUR,Meals & Entertainment,Restaurant De Kas,POS-9923847,8725.27
2025-01-10,Client Payment - Consulting,2800.00,EUR,Income,StartupXYZ,INV-2024-092,11525.27
2025-01-10,Zoom Pro,-15.99,EUR,Software & Hosting,Zoom Video,ZM-PRO-JAN,11509.28
2025-01-11,OpenAI API,-124.56,EUR,Software & Hosting,OpenAI,OAI-API-2025,11384.72
2025-01-11,Train Ticket Amsterdam-Rotterdam,-23.40,EUR,Travel,NS Dutch Railways,NS-TKT-98234,11361.32
2025-01-12,Dropbox Business,-12.99,EUR,Software & Hosting,Dropbox Inc,DBX-BUS-01,11348.33
2025-01-12,Team Dinner,-234.50,EUR,Meals & Entertainment,Brasserie Harkema,POS-1123847,11113.83
2025-01-13,Adobe Creative Cloud,-59.99,EUR,Software & Hosting,Adobe Inc,ADO-CC-2025,11053.84
2025-01-13,Phone Bill,-45.00,EUR,Utilities,T-Mobile Business,TMO-BUS-JAN,11008.84
2025-01-14,Anthropic API,-89.23,EUR,Software & Hosting,Anthropic,ANT-API-2025,10919.61
2025-01-14,Taxi to Client,-32.50,EUR,Travel,Uber,UBR-8847234,10887.11
2025-01-15,VAT Payment,-1850.00,EUR,Taxes,Belastingdienst,VAT-Q4-2024,9037.11
2025-01-15,Vercel Pro,-20.00,EUR,Software & Hosting,Vercel Inc,VRC-PRO-01,9017.11
2025-01-16,Client Payment - App Development,5200.00,EUR,Income,FinTech Solutions,INV-2025-001,14217.11
2025-01-16,1Password Business,-7.99,EUR,Software & Hosting,1Password,1PW-BUS-JAN,14209.12
2025-01-17,Accounting Software,-35.00,EUR,Software & Hosting,Exact Online,EXO-PRO-2025,14174.12
2025-01-17,Coffee Beans Office,-42.30,EUR,Office Expenses,Moyee Coffee,MOY-ORD-234,14131.82
2025-01-18,Stripe Fees,-156.78,EUR,Bank Fees,Stripe,STR-FEE-JAN,13975.04
2025-01-18,Domain Renewals,-89.99,EUR,Software & Hosting,Cloudflare,CF-DOM-2025,13885.05
2025-01-19,Health Insurance,-245.00,EUR,Insurance,CZ Zorgverzekering,CZ-PREM-JAN,13640.05
2025-01-19,Gym Membership,-49.99,EUR,Health & Wellness,Basic-Fit,BF-MEM-JAN,13590.06
2025-01-20,Freelancer Payment,-1200.00,EUR,Contractors,Maria Designer,FRL-PAY-001,12390.06
2025-01-20,Miro Team,-10.00,EUR,Software & Hosting,Miro,MIR-TEAM-01,12380.06
2025-01-21,Client Payment - Maintenance,950.00,EUR,Income,E-Commerce BV,INV-2025-003,13330.06
2025-01-21,Grammarly Business,-15.00,EUR,Software & Hosting,Grammarly Inc,GRM-BUS-01,13315.06
2025-01-22,Legal Consultation,-350.00,EUR,Professional Services,Baker McKenzie,LEG-CON-001,12965.06
2025-01-22,Postage & Shipping,-28.45,EUR,Office Expenses,PostNL,PNL-SHP-9823,12936.61
2025-01-23,Calendly Pro,-12.00,EUR,Software & Hosting,Calendly,CAL-PRO-JAN,12924.61
2025-01-23,Client Lunch,-89.00,EUR,Meals & Entertainment,Ron Gastrobar,POS-2234567,12835.61
2025-01-24,Heroku Hosting,-50.00,EUR,Software & Hosting,Salesforce,HRK-DYN-JAN,12785.61
2025-01-24,Uber Rides,-67.80,EUR,Travel,Uber,UBR-MULTI-01,12717.81
2025-01-25,Monthly Salary,8500.00,EUR,Income,TechCorp Inc,SAL-2025-002,21217.81
2025-01-25,Pension Contribution,-425.00,EUR,Insurance,ABN AMRO Pension,PEN-CON-JAN,20792.81
2025-01-26,HubSpot CRM,-45.00,EUR,Software & Hosting,HubSpot,HS-CRM-JAN,20747.81
