Date,Description,Amount,Currency,Balance
2025-01-03,Opening Balance,6500.00,EUR,6500.00
2025-01-05,Stripe Payout,8200.00,EUR,14700.00
2025-01-07,Office Rent,-2400.00,EUR,12300.00
2025-01-09,Google Cloud,-620.00,EUR,11680.00
2025-01-12,Team Lunch,-180.00,EUR,11500.00
2025-01-15,Payroll,-9100.00,EUR,2400.00
2025-01-22,Enterprise Invoice,12500.00,EUR,14900.00
2025-01-28,Adobe,-95.00,EUR,14805.00
2025-02-02,Opening Balance,14805.00,EUR,14805.00
2025-02-04,Stripe Payout,8700.00,EUR,23505.00
2025-02-06,AWS,-1100.00,EUR,22405.00
2025-02-10,Office Rent,-2400.00,EUR,20005.00
2025-02-12,Payroll,-9100.00,EUR,10905.00
2025-02-18,HubSpot,-450.00,EUR,10455.00
2025-02-25,Annual Insurance,-1200.00,EUR,9265.00
2025-03-03,Opening Balance,9265.00,EUR,9265.00
2025-03-05,Stripe Payout,9100.00,EUR,18365.00
2025-03-07,Microsoft Azure,-980.00,EUR,17385.00
2025-03-10,Office Rent,-2400.00,EUR,14985.00
2025-03-12,Payroll,-9400.00,EUR,55985.00
2025-03-14,Contractor Payment,-3200.00,EUR,27985.00
2025-03-20,Enterprise Invoice,13200.00,EUR,41185.00
2025-03-27,Slack,-360.00,EUR,40825.00
2025-04-02,Opening Balance,40825.00,EUR,40825.00
2025-04-04,Stripe Payout,9600.00,EUR,50425.00
2025-04-06,AWS,-1150.00,EUR,49275.00
2025-04-10,Office Rent,-2400.00,EUR,46875.00
2025-04-12,Payroll,-9400.00,EUR,37475.00
2025-04-19,Hardware Purchase,-2100.00,EUR,35375.00
2025-04-24,Enterprise Invoice,12850.00,EUR,48225.00
2025-04-29,Adobe,-95.00,EUR,48130.00
2025-05-02,Opening Balance,48130.00,EUR,48130.00
2025-05-06,Stripe Payout,9900.00,EUR,58030.00
2025-05-08,Google Cloud,-650.00,EUR,57380.00
2025-05-10,Office Rent,-2400.00,EUR,54980.00
2025-05-12,Payroll,-9400.00,EUR,45580.00
2025-05-15,Marketing Campaign,-3200.00,EUR,42380.00
2025-05-20,Enterprise Invoice,13400.00,EUR,55780.00
2025-05-27,Slack,-360.00,EUR,55420.00
2025-06-02,Opening Balance,55420.00,EUR,55420.00
2025-06-05,Stripe Payout,10200.00,EUR,65620.00
2025-06-07,Microsoft Azure,-990.00,EUR,64630.00
2025-06-10,Office Rent,-2400.00,EUR,62230.00
2025-06-12,Payroll,-9600.00,EUR,52630.00
2025-06-18,Contractor Payment,-3400.00,EUR,49230.00
2025-06-22,Enterprise Invoice,13650.00,EUR,62880.00
2025-06-28,Adobe,-95.00,EUR,62785.00
